"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6","Get available departments","tests.abonent","2026-05-28","passed","2026-05-28","TestAbonent","test_abonent","",""
"","16","Get mobile QR","tests.abonent","2026-05-28","passed","2026-05-28","TestAbonent","test_abonent","",""
"","11","Get advisor","tests.advisers","2026-05-28","passed","2026-05-28","TestAdvisor","test_advisers","",""
"","5","Unsubscribe adviser","tests.advisers","2026-05-28","passed","2026-05-28","TestAdvisor","test_advisers","",""
"","8","Get abonent permission","tests.auth","2026-05-28","passed","2026-05-28","TestAuth","test_auth","",""
"","29","Login with incorrect abonent id","tests.auth","2026-05-28","passed","2026-05-28","TestAuth","test_auth","",""
"","11","Get banners","tests.banners","2026-05-28","passed","2026-05-28","TestBanners","test_banners","",""
"","23","Get abonent","tests.abonent","2026-05-28","passed","2026-05-28","TestAbonent","test_abonent","",""
"","13","Get Adviser Subscription","tests.advisers","2026-05-28","passed","2026-05-28","TestAdvisor","test_advisers","",""
"","52","Login with correct email and password","tests.auth","2026-05-28","passed","2026-05-28","TestAuth","test_auth","",""
"","5","Subscribe adviser","tests.advisers","2026-05-28","passed","2026-05-28","TestAdvisor","test_advisers","",""
"","6","Get autopilot status","tests.abonent","2026-05-28","passed","2026-05-28","TestAbonent","test_abonent","",""
"","51","Get abonent requisites","tests.abonent","2026-05-28","passed","2026-05-28","TestAbonent","test_abonent","",""
